Ticker,Name,Market Cap,Currency,Price,200-DMA,% Diff
2886.TW,MEGA FINANCIAL HOLDING CO (兆豐金),598311829504,TWD,40.20000076293945,40.43996160507202,-0.5933755439136545
1609.TW,TA YA ELECTRONIC WIRE & CABLE (大亞),28225148928,TWD,36.04999923706055,38.39929226875305,-6.118063362340176
COR,"Cencora, Inc.",51650121728,USD,265.4200134277344,327.18784980773927,-18.87840163267085
VLTO,Veralto Corp,21453094912,USD,87.34500122070312,98.71591808319091,-11.518828050512752
1264.TWO,TEHMAG FOODS CORPORATION (德麥),10059618304,TWD,271.5,289.9306278991699,-6.3569095934147395
SPGI,S&P Global Inc.,124984516608,USD,422.3399963378906,486.06041259765624,-13.109567166604686
TKO,"TKO Group Holdings, Inc.",14272719872,USD,190.19000244140625,193.86169883728027,-1.8939772105040165
BF-B,Brown Forman Inc,12531782656,USD,27.360000610351562,27.575634384155272,-0.7819721236498989
2480.TW,STARK TECHNOLOGY (敦陽科),15741280256,TWD,148.0,154.7625,-4.369598578467004
2889.TW,IBF FINANCIAL HOLDINGS CO LTD (國票金),53231702016,TWD,14.649999618530273,15.789316425323486,-7.215744976558547
2617.TW,TAIWAN NAVIGATION CO (台航),12268443648,TWD,29.399999618530273,29.47776452064514,-0.26380868216925313
6869.TW,J&V ENERGY TECHNOLOGY CO LTD (雲豹能源),11641458688,TWD,87.30000305175781,109.63194591522216,-20.369922906169634
FE,FirstEnergy Corp.,25879011328,USD,44.650001525878906,45.61445035934448,-2.1143493473401054
MCD,McDonald's Corporation,199401357312,USD,280.42999267578125,306.77543411254885,-8.587858904993695
ABT,Abbott Laboratories,149238546432,USD,85.69999694824219,118.36631034851074,-27.59764438385196
CMS,CMS Energy Corporation,22472357888,USD,72.62000274658203,72.98533123016358,-0.5005505591657355
8054.TWO,ALCOR MICRO CORP (安國),11264778240,TWD,106.5,116.68050006866456,-8.725108362300038
9914.TW,MERIDA INDUSTRY (美利達),16653409280,TWD,55.70000076293945,89.48118816375732,-37.75227854484425
VRTX,Vertex Pharmaceuticals Incorpor,108676947968,USD,428.6000061035156,435.2342489624023,-1.524292464277044
VMC,Vulcan Materials Company (Holdi,37484892160,USD,289.30169677734375,291.7757414245605,-0.8479267793605971
ES,Eversource Energy (D/B/A),25196673024,USD,66.91000366210938,68.01276094436645,-1.6213976126614127
3376.TW,SHIN ZU SHING CO (新日興),39642173440,TWD,202.5,214.8668918609619,-5.7556060656215
CBRE,CBRE Group Inc,43451052032,USD,148.3800048828125,154.42490043640137,-3.914456500542418
4147.TWO,TAIMED BIOLOGICS INC. (中裕),13453911040,TWD,49.70000076293945,66.17149995803832,-24.89213514208387
2101.TW,NAN KANG RUBBER TIRE (南港),24945891328,TWD,34.5,36.58037850379944,-5.687143186840881
7722.TW,LINE PAY TAIWAN LIMITED (LINEPAY),19074000896,TWD,280.5,521.8207876586914,-46.24591303490436
IP,International Paper Company,17519067136,USD,33.11000061035156,41.428131618499755,-20.078460416094956
2207.TW,HOTAI MOTOR CO (和泰車),271309062144,TWD,487.0,551.7675,-11.738186826879083
4743.TWO,ONENESS BIOTECH CO LTD (合一),24735156224,TWD,51.599998474121094,62.37999998092651,-17.281182286151886
2009.TW,FIRST COPPER TECHNOLOGY (第一銅),13629680640,TWD,37.900001525878906,40.560607776641845,-6.5595818125169565
CPRT,"Copart, Inc.",32595949568,USD,33.724998474121094,40.514875087738034,-16.758972103240964
6768.TW,SPORTS GEAR CO LTD (志強-KY),17508313088,TWD,87.5,103.38849990844727,-15.367763264305879
ITW,Illinois Tool Works Inc.,73424715776,USD,254.86000061035156,258.5116972351074,-1.4125846775261297
1795.TW,LOTUS PHARMACEUTICAL CO (美時),62154518528,TWD,236.5,254.61246353149414,-7.113737984493341
4532.TW,RECHI PRECISION (瑞智),11157260288,TWD,22.950000762939453,23.130892066955568,-0.782033410092875
