Ticker,Name,Market Cap,Currency,Price,200-DMA,% Diff
1925.T,DAIWA HOUSE INDUSTRY CO,2956147818496,JPY,4773.0,5115.402145996094,-6.693552847337669
2413.T,M3 INC,907030757376,JPY,1359.0,1980.6365032958984,-31.385693551616257
2502.T,ASAHI GROUP HLDGS,2236723494912,JPY,1529.0,1715.5553515625,-10.874341733864101
2587.T,SUNTORY BEVERAGE & FOOD LIMITED,1370104528896,JPY,4434.0,4685.987126464844,-5.377460920490096
3064.T,MONOTARO CO.LTD,911850340352,JPY,1846.5,2213.3450366210936,-16.574236305294797
3088.T,MATSUKIYOCOCOKARA & CO,935328022528,JPY,2350.5,2763.6095056152344,-14.94818659350602
3092.T,ZOZO INC,909970505728,JPY,1029.0,1264.308602294922,-18.611642906470717
3382.T,SEVEN & I HOLDINGS CO LTD,4388723884032,JPY,1898.5,2060.1553173828124,-7.846753883982727
3391.T,TSURUHA HOLDINGS INC,927698845696,JPY,2048.0,2464.074808349609,-16.885640279253057
3626.T,TIS INC.,784248143872,JPY,3565.0,4430.285982666016,-19.531154107241456
3659.T,NEXON CO LTD,2112576290816,JPY,2670.5,3284.060771484375,-18.682990790302867
4151.T,KYOWA KIRIN CO LTD,1217633583104,JPY,2326.0,2480.2601208496094,-6.219513814412647
4204.T,SEKISUI CHEMICAL CO,953149816832,JPY,2361.0,2668.6183728027345,-11.52725230170908
4307.T,NOMURA RESEARCH INSTITUTE,2499233972224,JPY,4351.0,5350.223582763672,-18.676295809071974
4452.T,KAO CORP,2689937702912,JPY,5947.0,6370.4366455078125,-6.646901446016318
4543.T,TERUMO CORP,2909579771904,JPY,1972.5,2315.685773925781,-14.820049325776118
4568.T,DAIICHI SANKYO COMPANY LIMITED,4723819675648,JPY,2596.0,3289.9734216308593,-21.093587476060904
4612.T,NIPPON PAINT HOLDINGS CO LTD,2286501756928,JPY,985.7999877929688,1053.6482968139649,-6.439369685895824
4661.T,ORIENTAL LAND CO,3674973929472,JPY,2241.5,3030.882321777344,-26.04463776457151
4684.T,OBIC CO LTD,1833866887168,JPY,4232.0,4702.911723632813,-10.013195043964219
4716.T,ORACLE CORP JAPAN,1159017529344,JPY,9044.0,12853.035,-29.63529625493123
4755.T,RAKUTEN GROUP INC,1622917906432,JPY,747.9000244140625,889.4419998168945,-15.913570017153521
4768.T,OTSUKA CORPORATION,1152013172736,JPY,3038.0,3043.2442126464844,-0.1723230960135047
4901.T,FUJIFILM HOLDINGS CORPORATION,3643709325312,JPY,3023.0,3250.3551794433592,-6.994779551516428
5108.T,BRIDGESTONE CORP,4145218322432,JPY,3284.0,3396.775509033203,-3.3200754283965406
5401.T,NIPPON STEEL CORPORATION,2983723008000,JPY,570.9000244140625,591.8825325012207,-3.545046007438124
5411.T,JFE HOLDINGS INC,1122795126784,JPY,1765.0,1856.754566040039,-4.941663681254704
6098.T,RECRUIT HOLDINGS CO LTD,10921181184000,JPY,7822.0,7902.776826171875,-1.0221321941467965
6701.T,NEC CORP,5579693096960,JPY,4200.0,4759.115209960937,-11.748301633688051
6702.T,FUJITSU,5867020222464,JPY,3382.0,3719.8866442871094,-9.083251093310206
6758.T,SONY GROUP CORPORATION,18396477390848,JPY,3114.0,3847.876046142578,-19.072237185973673
6869.T,SYSMEX CORP,841293037568,JPY,1350.0,1667.00181640625,-19.016285002595122
6902.T,DENSO CORP,5165845839872,JPY,1919.0,2055.220029296875,-6.628002226286112
6988.T,NITTO DENKO CORP,2127417573376,JPY,3158.0,3436.857471923828,-8.113733961965375
7201.T,NISSAN MOTOR CO,1208476499968,JPY,345.70001220703125,367.6424996948242,-5.968430610173514
7202.T,ISUZU MOTORS,1480309342208,JPY,2154.0,2191.5746020507813,-1.7145025323628382
7203.T,TOYOTA MOTOR CORP,34492989308928,JPY,2913.0,3115.3838208007815,-6.496272448020878
7259.T,AISIN CORPORATION,1659996471296,JPY,2291.0,2503.3195544433593,-8.481520230467376
7267.T,HONDA MOTOR CO,4939647549440,JPY,1269.0,1483.276831665039,-14.446179370610446
7269.T,SUZUKI MOTOR CORP,3488127385600,JPY,1808.0,2062.865456542969,-12.354923862561662
7270.T,SUBARU CORPORATION,1686980657152,JPY,2358.0,2954.8228857421873,-20.19826259712614
7272.T,YAMAHA MOTOR CO,1082045890560,JPY,1116.0,1128.7836352539061,-1.132514226345127
7532.T,PAN PACIFIC INTL HLDGS CORP,2640351592448,JPY,883.5,976.7369421386719,-9.545757728229209
7550.T,ZENSHO HOLDINGS CO LTD,1377188708352,JPY,8802.0,9119.084111328126,-3.477148663803087
7701.T,SHIMADZU CORP,1108375633920,JPY,3836.0,3898.193465576172,-1.5954432771329796
7733.T,OLYMPUS CORPORATION,1730326953984,JPY,1571.5,1756.4802923583984,-10.531304744104375
7751.T,CANON INC,3529071132672,JPY,4063.0,4424.19212890625,-8.164024490399878
7832.T,BANDAI NAMCO HOLDINGS INC,2333357637632,JPY,3637.0,4408.958642578125,-17.50886558842214
7974.T,NINTENDO CO LTD,8838739656704,JPY,7667.0,11140.005241699218,-31.175974933109373
8113.T,UNICHARM CORP,1626734592000,JPY,945.0,958.9584713745118,-1.455586638126738
8136.T,SANRIO CO LTD,1061745983488,JPY,875.7000122070312,1182.0728280639648,-25.91826904258686
