Ticker,Name,Market Cap,Currency,Price,200-DMA,% Diff
1925.T,DAIWA HOUSE INDUSTRY CO,2810597081088,JPY,4538.0,5114.369748535156,-11.269614378198566
2413.T,M3 INC,876668256256,JPY,1313.5,1970.452708129883,-33.34019159248859
2502.T,ASAHI GROUP HLDGS,2233797705728,JPY,1527.0,1709.442882080078,-10.672651540019784
2587.T,SUNTORY BEVERAGE & FOOD LIMITED,1284202692608,JPY,4156.0,4683.8475341796875,-11.269528530290485
3064.T,MONOTARO CO.LTD,873084944384,JPY,1768.0,2193.496202392578,-19.398082473471522
3088.T,MATSUKIYOCOCOKARA & CO,879415394304,JPY,2210.0,2746.5104162597654,-19.53425747390365
3092.T,ZOZO INC,906433200128,JPY,1025.0,1254.7878784179688,-18.312886374682257
3382.T,SEVEN & I HOLDINGS CO LTD,4277763309568,JPY,1850.5,2054.7283520507813,-9.93943320278543
3391.T,TSURUHA HOLDINGS INC,911165161472,JPY,2011.5,2460.0281213378908,-18.232642035569814
3626.T,TIS INC.,704870744064,JPY,3330.0,4408.042327880859,-24.456260799998308
3659.T,NEXON CO LTD,1993123299328,JPY,2519.5,3280.0498059082033,-23.187141992120363
4151.T,KYOWA KIRIN CO LTD,1236999471104,JPY,2363.0,2478.3244201660154,-4.653322189283449
4204.T,SEKISUI CHEMICAL CO,951535009792,JPY,2357.0,2665.820626220703,-11.584448825370286
4307.T,NOMURA RESEARCH INSTITUTE,2397564305408,JPY,4174.0,5330.50044555664,-21.695907492525723
4452.T,KAO CORP,2665527115776,JPY,5893.0,6357.927998046875,-7.312570985228184
4543.T,TERUMO CORP,2846889082880,JPY,1930.0,2305.9485864257813,-16.303424483912778
4568.T,DAIICHI SANKYO COMPANY LIMITED,4698344521728,JPY,2582.0,3279.921904296875,-21.278613474990347
4612.T,NIPPON PAINT HOLDINGS CO LTD,2296243552256,JPY,990.0,1049.1692404174805,-5.639627825338856
4661.T,ORIENTAL LAND CO,3523318906880,JPY,2149.0,3013.4536267089843,-28.686475180740068
4684.T,OBIC CO LTD,1729866891264,JPY,3992.0,4677.321799316406,-14.652013026270005
4689.T,LY CORPORATION,2773874900992,JPY,404.79998779296875,429.8601072692871,-5.829831392243934
4716.T,ORACLE CORP JAPAN,1088276922368,JPY,8492.0,12697.005,-33.118085721790294
4755.T,RAKUTEN GROUP INC,1650259394560,JPY,760.5,888.7669995117187,-14.432016443250884
4768.T,OTSUKA CORPORATION,1096270610432,JPY,2891.0,3045.626131591797,-5.076989916388108
