Ticker,Name,Market Cap,Currency,Price,200-DMA,% Diff
ABT,Abbott Laboratories,153993707520,USD,88.41000366210938,112.66914428710938,-21.53130813098357
ACGL,Arch Capital Group Ltd.,31857344512,USD,91.18000030517578,93.38849994659424,-2.364851820814584
ABBV,AbbVie Inc.,382492999680,USD,216.49000549316406,218.07993461608888,-0.7290579602033276
ADP,"Automatic Data Processing, Inc.",87305961472,USD,218.41000366210938,239.1532202911377,-8.6736095812451
ADBE,Adobe Inc.,77576101888,USD,195.16000366210938,295.29890014648436,-33.91102927735275
ACN,Accenture plc,78763393024,USD,127.9800033569336,224.57964336395264,-43.01353344411103
A,"Agilent Technologies, Inc.",35885801472,USD,127.05999755859375,130.0883577346802,-2.3279255952042166
AMP,"Ameriprise Financial, Inc.",42020593664,USD,467.42999267578125,471.67004638671875,-0.898944875431229
ALLE,Allegion plc,11478454272,USD,133.57000732421875,155.7873211288452,-14.26131064045414
AON,Aon plc,67861934080,USD,317.739990234375,337.1469985961914,-5.756245329966769
ALNY,"Alnylam Pharmaceuticals, Inc.",37128511488,USD,278.0899963378906,374.3933999633789,-25.72251637846932
ADSK,"Autodesk, Inc.",40924172288,USD,193.82000732421875,269.77125007629394,-28.153942545988663
ARE,Alexandria Real Estate Equities,8892971008,USD,51.029998779296875,55.20402826309204,-7.561095838699538
AOS,A.O. Smith Corporation,8024382464,USD,58.220001220703125,66.97229513168335,-13.068529148913221
APTV,Aptiv PLC,13475995648,USD,63.68000030517578,74.37284996032714,-14.377356334812063
AMT,American Tower Corporation (REI,82020474880,USD,176.0500030517578,178.41085121154785,-1.323264893227094
ARES,Ares Management Corporation,42662363136,USD,129.33999633789062,137.922244682312,-6.222526586766042
ATO,Atmos Energy Corporation,28394731520,USD,170.11000061035156,173.5119715118408,-1.96065485963145
AZO,"AutoZone, Inc.",50162470912,USD,3064.47998046875,3647.1308459472657,-15.975595340264913
AVB,"AvalonBay Communities, Inc.",25156755456,USD,177.32000732421875,177.9214102935791,-0.33801607595623784
APP,Applovin Corporation,157794156544,USD,469.7099914550781,542.2456759643554,-13.37690418282753
AVY,Avery Dennison Corporation,12137493504,USD,158.67999267578125,170.73636291503905,-7.061395729307662
AXON,"Axon Enterprise, Inc.",34126919680,USD,423.3999938964844,544.4853004455566,-22.238489533140225
BF-B,Brown Forman Inc,12224143360,USD,26.639999389648438,26.871192474365234,-0.8603752324626179
AWK,"American Water Works Company, I",24423735296,USD,125.06999969482422,130.6299006652832,-4.2562238370717935
BLK,"BlackRock, Inc.",171005591552,USD,1050.0899658203125,1058.3205001831054,-0.7776977164638654
BKNG,Booking Holdings Inc. Common St,133108621312,USD,171.77999877929688,189.8304229736328,-9.50870988516056
BDX,"Becton, Dickinson and Company",39672307712,USD,143.97999572753906,152.1245333099365,-5.35386200055179
BR,"Broadridge Financial Solutions,",15914582016,USD,137.60000610351562,194.99422996520997,-29.43380625772074
BRO,"Brown & Brown, Inc.",20031817728,USD,59.099998474121094,74.40540269851685,-20.57028612076962
BLDR,"Builders FirstSource, Inc.",8668250112,USD,80.58999633789062,103.52475013732911,-22.15388471743689
BRK-B,Berkshire Hathaway Inc. New,1055693602816,USD,489.4599914550781,490.24859970092774,-0.16085884719113652
BSX,Boston Scientific Corporation,67317026816,USD,45.290000915527344,81.19910003662109,-44.22351861646079
CBRE,CBRE Group Inc,38520020992,USD,131.5500030517578,150.86455043792725,-12.802575111319037
CAG,"ConAgra Brands, Inc.",6315370496,USD,13.199999809265137,16.200885877609252,-18.522975169472357
CBOE,"Cboe Global Markets, Inc.",26069258240,USD,249.10000610351562,273.57263175964357,-8.94556794614938
BX,Blackstone Inc.,151303815168,USD,123.79000091552734,136.94196937561034,-9.604045071098122
CCI,Crown Castle Inc.,35810885632,USD,82.05000305175781,87.38886341094971,-6.10931433458024
CDW,CDW Corporation,16399709184,USD,128.3699951171875,135.1009362792969,-4.98215730214806
CEG,Constellation Energy Corporatio,97867374592,USD,274.05999755859375,318.439312210083,-13.936506250902536
CHTR,"Charter Communications, Inc.",19777511424,USD,126.2300033569336,211.6223002243042,-40.35127525636996
CMG,"Chipotle Mexican Grill, Inc.",41676029952,USD,32.4900016784668,35.82160008430481,-9.300529283999659
CLX,Clorox Company (The),11584266240,USD,95.80000305175781,106.19021976470947,-9.784532639610067
CME,CME Group Inc.,89022701568,USD,246.3800048828125,275.65928771972654,-10.621547737104875
CMCSA,Comcast Corporation,80125091840,USD,22.43000030517578,26.779715623784092,-16.242574714815728
COF,Capital One Financial Corporati,125410664448,USD,201.52999877929688,208.12895660400392,-3.1706101507357975
COIN,"Coinbase Global, Inc.",43012603904,USD,163.25999450683594,238.1231497955322,-31.438839673076124
COO,"The Cooper Companies, Inc.",12854469632,USD,65.91000366210938,72.66465002059937,-9.295642869779385
COR,"Cencora, Inc.",52887527424,USD,271.8299865722656,323.7105542755127,-16.02683848827836
CPRT,"Copart, Inc.",27987279872,USD,30.229999542236328,38.391050033569336,-21.257690227792526
COST,Costco Wholesale Corporation,421947932672,USD,951.4500122070312,955.8820141601562,-0.46365575326982045
CPB,The Campbell's Company,6307061760,USD,21.149999618530273,25.933158617019654,-18.444182095698302
CSGP,"CoStar Group, Inc.",12299674624,USD,30.1200008392334,56.85620004653931,-47.0242457030564
CRH,CRH PLC,74330587136,USD,111.23999786376953,114.83995937347412,-3.134763830764742
CRM,"Salesforce, Inc.",124307816448,USD,151.77999877929688,215.2335460662842,-29.48125347869607
CTAS,Cintas Corporation,68363390976,USD,170.85000610351562,185.82110214233398,-8.056725455944669
CTSH,Cognizant Technology Solutions ,20670099456,USD,43.70000076293945,66.87056398391724,-34.64986959964992
CVNA,Carvana Co.,73005383680,USD,66.55999755859375,73.52196996688843,-9.469240842472114
DPZ,Domino's Pizza Inc,10393336832,USD,312.4700012207031,385.5463404846191,-18.953970402639907
DASH,"DoorDash, Inc.",75579768832,USD,173.4600067138672,202.39804985046388,-14.297589901669882
DG,Dollar General Corporation,25025554432,USD,113.44999694824219,120.13768669128417,-5.566687629192691
DHR,Danaher Corporation,125395722240,USD,177.1699981689453,203.75442420959473,-13.047287755235681
DIS,Walt Disney Company (The),180406173696,USD,103.88999938964844,106.86117221832275,-2.7804044883618317
EFX,"Equifax, Inc.",18569283584,USD,153.92999267578125,202.26587539672852,-23.89720096192215
EL,"Estee Lauder Companies, Inc. (T",30683826176,USD,84.80999755859375,92.53036140441894,-8.343600661065276
ERIE,Erie Indemnity Company,11563381760,USD,221.13999938964844,270.7999087524414,-18.338229725251065
EXE,Expand Energy Corporation,20808126464,USD,86.9800033569336,103.24927562713623,-15.757274974941037
EQT,EQT Corporation,31724244992,USD,50.720001220703125,56.307372341156004,-9.922983240276295
FDS,FactSet Research Systems Inc.,8061843968,USD,221.2899932861328,254.9944832611084,-13.217733005016807
FISV,"Fiserv, Inc.",25521534976,USD,47.86000061035156,74.93339990615844,-36.12994916781006
FICO,Fair Isaac Corporation,25428363264,USD,1096.47998046875,1429.7623974609376,-23.310335870075438
FIS,Fidelity National Information S,19749951488,USD,38.209999084472656,55.111933155059816,-30.66837452976442
FOX,Fox Corporation,19714334720,USD,46.95000076293945,57.18103261947632,-17.892352390033782
GDDY,GoDaddy Inc.,10200854528,USD,77.04000091552734,108.12700012207031,-28.75045009243501
GEHC,GE HealthCare Technologies Inc.,28016785408,USD,61.59000015258789,74.59613122940064,-17.43539626313305
FOXA,Fox Corporation,21931409408,USD,52.22999954223633,63.602296142578126,-17.880323966368085
GILD,"Gilead Sciences, Inc.",153656688640,USD,123.76000213623047,127.79278160095215,-3.1557177284977755
GEN,Gen Digital Inc.,14566850560,USD,24.18000030517578,24.434518070220946,-1.0416320236549037
GIS,"General Mills, Inc.",17835624448,USD,33.41999816894531,41.98582077026367,-20.401703346919152
GPC,Genuine Parts Company,15122573312,USD,108.69999694824219,119.13733776092529,-8.760763845191732
GPN,Global Payments Inc.,18294589440,USD,66.87999725341797,75.25025653839111,-11.12323023204953
HAS,"Hasbro, Inc.",11989920768,USD,84.73999786376953,85.0430212020874,-0.3563177013641061
HCA,"HCA Healthcare, Inc.",83227639808,USD,375.1700134277344,458.92332641601564,-18.24995770913562
HD,"Home Depot, Inc. (The)",333316161536,USD,334.2799987792969,353.72564529418946,-5.497381027807546
HII,"Huntington Ingalls Industries, ",11247091712,USD,285.42999267578125,343.7764707946777,-16.97221394588817
HSY,The Hershey Company,35016851456,USD,172.6300048828125,191.455789642334,-9.832967075422827
HIG,"The Hartford Insurance Group, I",35157278720,USD,128.25,132.75927047729493,-3.396576721974476
IBM,International Business Machines,234125443072,USD,249.10000610351562,270.4541567993164,-7.895663704531675
ICE,Intercontinental Exchange Inc.,75710816256,USD,133.8800048828125,157.95622024536132,-15.242334442511996
IDXX,"IDEXX Laboratories, Inc.",44339347456,USD,562.0900268554688,632.5186978149414,-11.134638581084022
INSM,Insmed Incorporated,20764884992,USD,95.80000305175781,153.58364974975586,-37.62356656593903
IQV,"IQVIA Holdings, Inc.",28000813056,USD,167.77000427246094,195.31684982299805,-14.103670817699998
INTU,Intuit Inc.,73034375168,USD,267.0,521.2836116027833,-48.78028120257628
ISRG,"Intuitive Surgical, Inc.",144066363392,USD,406.7799987792969,490.68955078125,-17.100333982730376
IR,Ingersoll Rand Inc.,30489053184,USD,77.91000366210938,81.39752338409424,-4.284552621494575
IT,"Gartner, Inc.",8535695872,USD,127.48999786376953,200.46235004425048,-36.40202370388897
J,Jacobs Solutions Inc.,14284243968,USD,120.97000122070312,136.18604862213135,-11.172985452898654
KHC,The Kraft Heinz Company,27059445760,USD,22.81999969482422,23.332131423950194,-2.1949633311266092
KKR,KKR & Co. Inc.,90456154112,USD,97.01000213623047,112.45417854309082,-13.733750587971583
KMB,Kimberly-Clark Corporation,34043801600,USD,102.55999755859375,103.141402053833,-0.5636965211465728
LDOS,"Leidos Holdings, Inc.",13474139136,USD,107.12000274658203,170.2242733001709,-37.07125272452287
LOW,"Lowe's Companies, Inc.",124589113344,USD,222.1999969482422,243.8428018951416,-8.875720250379327
LULU,lululemon athletica inc.,12691920896,USD,111.7699966430664,167.38894927978515,-33.22737425381259
LVS,Las Vegas Sands Corp.,32283691008,USD,48.720001220703125,56.2733013343811,-13.422528862835993
MA,Mastercard Incorporated,432770547712,USD,489.7900085449219,533.6377052307129,-8.216753849286917
MCO,Moody's Corporation,78721433600,USD,450.6700134277344,471.4600984191895,-4.409723126339737
MELI,"MercadoLibre, Inc.",82897502208,USD,1635.1500244140625,1973.9747552490235,-17.164592907482103
META,"Meta Platforms, Inc.",1465228591104,USD,577.219970703125,653.6996490478516,-11.699513447211318
MKC,"McCormick & Company, Incorporat",12538846208,USD,46.63999938964844,60.21725688934326,-22.54712054493736
