Ticker,Name,Market Cap,Currency,Price,200-DMA,% Diff
7974.T,NINTENDO CO LTD,7595988353024,JPY,6589.0,10113.101203613282,-34.84688952142756
8267.T,AEON CO LTD,3614595350528,JPY,1306.5,1994.263883056641,-34.4871051870274
3659.T,NEXON CO LTD,1689078202368,JPY,2136.5,3164.330162353516,-32.481761055839144
9501.T,TOKYO ELEC POWER CO HLDGS INC,731793784832,JPY,456.6000061035156,666.5015000915528,-31.49302649119385
3697.T,SHIFT INC,157708353536,JPY,617.0,879.7124993896484,-29.863449657918974
4506.T,SUMITOMO PHARMA CO LTD,647768899584,JPY,1444.0,2010.8025,-28.18787523886608
9602.T,TOHO CO LTD,1049796280320,JPY,1262.0,1611.7447393798827,-21.699759945513875
4755.T,RAKUTEN GROUP INC,1500280913920,JPY,690.2000122070312,877.234499206543,-21.320922417971943
6701.T,NEC CORP,5033475702784,JPY,3795.0,4716.302423095704,-19.53442210542079
7201.T,NISSAN MOTOR CO,1048914755584,JPY,300.0,371.445499420166,-19.2344501499396
4568.T,DAIICHI SANKYO COMPANY LIMITED,4613730729984,JPY,2535.5,3129.426241455078,-18.97875826525064
7270.T,SUBARU CORPORATION,1717742862336,JPY,2401.0,2909.975277099609,-17.49070794879426
9766.T,KONAMI GROUP CORPORATION,2342416023552,JPY,17280.0,20807.31037109375,-16.952264892410184
9022.T,CENTRAL JAPAN RAILWAY CO,3260156215296,JPY,3420.0,4104.70548828125,-16.680989421434823
4307.T,NOMURA RESEARCH INSTITUTE,2411036672000,JPY,4301.0,5156.628675537109,-16.592792100703036
7011.T,MITSUBISHI HEAVY INDUSTRIES,11985866457088,JPY,3567.0,4256.4396618652345,-16.19756690179679
5411.T,JFE HOLDINGS INC,984420974592,JPY,1547.5,1843.1871905517576,-16.04216826524515
4661.T,ORIENTAL LAND CO,3932860186624,JPY,2398.5,2854.2924963378905,-15.968668134841844
6753.T,SHARP CORP,393609707520,JPY,606.2000122070312,717.9655001831055,-15.566971943299546
6758.T,SONY GROUP CORPORATION,18841683886080,JPY,3199.0,3782.224041748047,-15.420134696158716
