Ticker,Name,Market Cap,Currency,Price,200-DMA,% Diff
1605.T,INPEX CORPORATION,3767819304960,JPY,3242.0,3377.1838330078126,-4.002856808875999
1803.T,SHIMIZU CORP,1765244141568,JPY,2599.0,2634.0405645751953,-1.330297074633191
1808.T,HASEKO CORPORATION,747620466688,JPY,2825.0,2830.6042016601564,-0.19798605742440412
1925.T,DAIWA HOUSE INDUSTRY CO,2788919869440,JPY,4503.0,5001.083718261719,-9.959515703425236
2282.T,NH FOODS LTD,575813582848,JPY,6117.0,6379.833679199219,-4.119757542522784
2413.T,M3 INC,1241752010752,JPY,1860.5,1885.3527221679688,-1.3182001370751761
2502.T,ASAHI GROUP HLDGS,2271832440832,JPY,1553.0,1646.084165649414,-5.654884944032634
3092.T,ZOZO INC,1016973819904,JPY,1150.0,1190.2099569702148,-3.3783919160425113
3289.T,TOKYU FUDOSAN HOLDINGS CORPORAT,950431055872,JPY,1333.5,1342.549848022461,-0.674079106693215
3382.T,SEVEN & I HOLDINGS CO LTD,4678967361536,JPY,2024.0,2045.6376666259766,-1.057746783753022
3659.T,NEXON CO LTD,1809641897984,JPY,2289.0,3092.6366833496095,-25.985486354614316
3697.T,SHIFT INC,181096218624,JPY,708.5,860.081499633789,-17.624085589369187
3861.T,OJI HOLDINGS CORP,691446611968,JPY,814.2000122070312,831.136767578125,-2.0377819910971207
4307.T,NOMURA RESEARCH INSTITUTE,2752427327488,JPY,4910.0,5134.854019775391,-4.378975895116611
4506.T,SUMITOMO PHARMA CO LTD,698459947008,JPY,1557.0,2008.74,-22.488724274918603
4507.T,SHIONOGI & CO,2441448521728,JPY,2869.0,2938.51408203125,-2.3656201770929863
4519.T,CHUGAI PHARMACEUTICAL CO,12576921485312,JPY,7642.0,7973.977121582031,-4.163256509521651
4523.T,EISAI CO LTD,1200914169856,JPY,4255.0,4574.916745605468,-6.992843004471528
4568.T,DAIICHI SANKYO COMPANY LIMITED,4821171044352,JPY,2649.5,3108.184270019531,-14.757306201046083
4661.T,ORIENTAL LAND CO,4170619289600,JPY,2543.5,2827.25884765625,-10.036535844303096
4704.T,TREND MICRO INC,813251887104,JPY,6267.0,6428.074094238281,-2.5057908772809223
4755.T,RAKUTEN GROUP INC,1660699279360,JPY,764.0,873.2604992675781,-12.511787646322848
4902.T,KONICA MINOLTA INC,283513192448,JPY,573.7000122070312,586.0839730834961,-2.1130011133576154
5019.T,IDEMITSU KOSAN CO.LTD,1461257633792,JPY,1214.5,1253.1197918701173,-3.0818914616680293
5401.T,NIPPON STEEL CORPORATION,2865054351360,JPY,548.2000122070312,596.5614660644532,-8.106700919934529
5406.T,KOBE STEEL,753535746048,JPY,1905.5,1945.2421508789062,-2.043043888440821
5411.T,JFE HOLDINGS INC,1017818120192,JPY,1600.0,1837.2830310058594,-12.9148872003653
5631.T,JAPAN STEEL WORKS,585573728256,JPY,7955.0,8908.389382324218,-10.702152110862006
6501.T,HITACHI,20752705257472,JPY,4615.0,4821.636822509766,-4.285615655353459
6701.T,NEC CORP,5528202248192,JPY,4168.0,4708.311112060547,-11.47568839868114
6702.T,FUJITSU,5769870704640,JPY,3326.0,3715.108262939453,-10.47367224317669
6753.T,SHARP CORP,414971887616,JPY,639.0999755859375,712.131000366211,-10.255279540241546
6758.T,SONY GROUP CORPORATION,19907750133760,JPY,3380.0,3764.545125732422,-10.214916089167769
6902.T,DENSO CORP,5264290349056,JPY,1955.5,2029.5590380859376,-3.6490211270612805
6988.T,NITTO DENKO CORP,2151715569664,JPY,3222.0,3434.67697265625,-6.192051664520104
7011.T,MITSUBISHI HEAVY INDUSTRIES,12741913870336,JPY,3792.0,4258.916667480469,-10.96327314985227
7013.T,IHI CORPORATION,3042134720512,JPY,2869.5,3080.0092785644533,-6.8346962468427535
7201.T,NISSAN MOTOR CO,1094717341696,JPY,313.1000061035156,370.67699951171875,-15.532928529163526
7203.T,TOYOTA MOTOR CORP,33486496858112,JPY,2828.0,3152.987900390625,-10.307299319174746
7211.T,MITSUBISHI MOTOR CORP,446742102016,JPY,333.79998779296875,364.4863285827637,-8.419064964415258
7270.T,SUBARU CORPORATION,1799659323392,JPY,2515.5,2899.6781579589842,-13.248993061678204
7532.T,PAN PACIFIC INTL HLDGS CORP,2446290059264,JPY,818.2999877929688,930.8942855834961,-12.095282948262142
7751.T,CANON INC,3639179476992,JPY,4260.0,4357.721348876953,-2.2424873243016563
7832.T,BANDAI NAMCO HOLDINGS INC,2511589081088,JPY,3916.0,4163.502875976563,-5.94458280321255
7974.T,NINTENDO CO LTD,8221974069248,JPY,7132.0,9965.602658691407,-28.433831407276777
8001.T,ITOCHU CORP,13200449863680,JPY,1888.5,1910.049340209961,-1.1282085628003813
8031.T,MITSUI & CO,13037266272256,JPY,4600.0,4868.069854736328,-5.506696960716639
8252.T,MARUI GROUP CO LTD,523978670080,JPY,2932.0,2999.7756213378907,-2.259356361715581
8267.T,AEON CO LTD,3894024339456,JPY,1407.5,1984.0394458007813,-29.05887012584487
8801.T,MITSUI FUDOSAN,4144580001792,JPY,1540.0,1702.651431274414,-9.552832029317448
8804.T,TOKYO TATEMONO CO,688049946624,JPY,3314.0,3353.1111962890627,-1.166415129100029
8830.T,SUMITOMO REALTY & DEVELOPMENT C,3553151942656,JPY,3847.0,4012.199322509766,-4.117425612006431
9005.T,TOKYU CORP,947431014400,JPY,1670.0,1773.8691455078124,-5.855513399669476
9008.T,KEIO CORPORATION,435522076672,JPY,748.2000122070312,769.4859945678711,-2.7662598814152117
9009.T,KEISEI ELECTRIC RAILWAY CO,572417966080,JPY,1187.0,1227.817660522461,-3.3244073476750846
9020.T,EAST JAPAN RAILWAY CO,3905448050688,JPY,3459.0,3694.2651940917967,-6.368389428784216
9021.T,WEST JAPAN RAILWAY CO,1272641880064,JPY,2796.5,3029.956873779297,-7.7049569846881605
9022.T,CENTRAL JAPAN RAILWAY CO,3349763063808,JPY,3514.0,4092.434669189453,-14.134243205989105
9064.T,YAMATO HOLDINGS CO LTD,616094302208,JPY,1945.5,2000.0402069091797,-2.726955524232433
9101.T,NIPPON YUSEN KABUSHIKI KAISHA,2102930964480,JPY,5211.0,5254.362514648437,-0.8252669001719726
9432.T,NTT INC,11895991959552,JPY,146.10000610351562,152.05258697509765,-3.914817228697931
9434.T,SOFTBANK CORP.,10001032675328,JPY,209.10000610351562,214.01519119262696,-2.2966524300078173
9501.T,TOKYO ELEC POWER CO HLDGS INC,745256452096,JPY,465.0,659.3009999084472,-29.470757656279687
9503.T,KANSAI ELECTRIC POWER CO INC,2535036026880,JPY,2275.5,2405.1978021240234,-5.392396501006591
9531.T,TOKYO GAS CO,2004191019008,JPY,6037.0,6396.511337890625,-5.620428369461483
9532.T,OSAKA GAS CO,2044937764864,JPY,5363.0,5445.587687988282,-1.5165982575296888
